Number,Name,CityTown,StateTerritory,YearEstablished
105,Imphal Peace Museum,Imphal,Manipur,2019
106,Indian National Army War Museum (INA War Museum),Moirang,Manipur,1985
107,Kangla Memento Museum,Imphal,Manipur,2018
108,Kangla Museum,Imphal,Manipur,
109,Loktak Folklore Museum,Thanga,Manipur,2016
110,Manipur State Museum,Imphal,Manipur,1969
111,Sekta Archaeological Living Museum,Sekta,Manipur,1991
112,Mizoram State Museum,Aizawl,Mizoram,
113,Nagaland State Museum,Kohima,Nagaland,1970
114,National Museum,Delhi,National Capital Territory of Delhi,1949
115,Sanskriti Kendra Museum,Delhi,National Capital Territory of Delhi,
116,National Science Centre,Delhi,National Capital Territory of Delhi,
117,National Handicrafts and Handlooms Museum,Delhi,National Capital Territory of Delhi,
118,Kiran Nadar Museum of Art,Delhi,National Capital Territory of Delhi,2010
119,Eternal Gandhi Multimedia Museum,Delhi,National Capital Territory of Delhi,
120,"Indian Air Force Museum, Palam",Delhi,National Capital Territory of Delhi,
121,Madame Tussauds Delhi,Delhi,National Capital Territory of Delhi,
122,National Museum of Natural History,Delhi,National Capital Territory of Delhi,
123,National Rail Museum,Delhi,National Capital Territory of Delhi,1977
124,National Gallery of Modern Art,Delhi,National Capital Territory of Delhi,1954
125,Teen Murti Bhavan,Delhi,National Capital Territory of Delhi,1930
126,Gandhi Smriti,Delhi,National Capital Territory of Delhi,
127,Nehru Memorial Museum & Library,Delhi,National Capital Territory of Delhi,1964
128,Shankar's International Dolls Museum,Delhi,National Capital Territory of Delhi,
129,Sulabh International Museum of Toilets,Delhi,National Capital Territory of Delhi,1992
130,Birla Academy of Art and Culture,Kolkata,West Bengal,
131,Marble Palace,Kolkata,West Bengal,
132,National Library of India,Kolkata,West Bengal,1836
133,Rabindra Bharati Museum,Kolkata,West Bengal,1961
134,Victoria Memorial,Kolkata,West Bengal,1921
135,Indian Museum,Kolkata,West Bengal,1814
136,Nehru Children's Museum,Kolkata,West Bengal,1972
137,"State Archaeological Museum, Kolkata",Kolkata,West Bengal,1962
138,Sabarna Sangrahashala,Kolkata,West Bengal,2001
139,Ashutosh Museum of Indian Art,Kolkata,West Bengal,
140,Pareshnath Jain Temple,Kolkata,West Bengal,1867
141,Tipu Sultan Shahi Masjid,Kolkata,West Bengal,1832
142,Raj Bhavan,Kolkata,West Bengal,1803
143,Alipore Zoological Gardens,Kolkata,West Bengal,1876
144,Science City Kolkata,Kolkata,West Bengal,1997
145,Birla Industrial & Technological Museum,Kolkata,West Bengal,
146,Acharya Bhavan,Kolkata,West Bengal,
147,Town Hall,Kolkata,West Bengal,1814
148,Gurusaday Museum,Kolkata,West Bengal,
149,Mother's Wax Museum,Kolkata,West Bengal,2014
150,Sundarban National Park,Sundarbans,West Bengal,1984
151,Jawahar Kala Kendra,Jaipur,Rajasthan,
152,Albert Hall Museum,Jaipur,Rajasthan,1887
153,"City Palace, Jaipur",Jaipur,Rajasthan,
154,"City Palace, Udaipur",Udaipur,Rajasthan,
155,Umaid Bhawan Palace,Jodhpur,Rajasthan,
