Andhra Pradesh
Napier Museum	Thiruvananthapuram	Kerala	1857
Keralam - Museum of History and Heritage	Thiruvananthapuram	Kerala	
Kerala Science and Technology Museum	Thiruvananthapuram	Kerala	
Wayanad Heritage Museum	Ambalavayal	Kerala	
Hill Palace	Thrippunithura	Kerala	
Revi Karunakaran Memorial Museum,	Alappuzha	Kerala	
Ladakh
Name	City/Town	State/Territory	Year Established
Munshi Aziz Bhat Museum of Central Asian and Kargil Trade Artefacts	Kargil	Ladakh	2004
Madhya Pradesh
Name	City/Town	State/Territory	Year Established
Indore Museum	Indore	Madhya Pradesh	1929
Bharat Bhavan	Bhopal	Madhya Pradesh	1982
Museum of Mankind(Manav Sangrahalaya)	Bhopal	Madhya Pradesh	1977
State Museum, Bhopal	Bhopal	Madhya Pradesh	1903
Tribal Museum Bhopal	Bhopal	Madhya Pradesh	2013
Regional Museum of Natural History, Bhopal	Bhopal	Madhya Pradesh	1997
Regional Science Centre, Bhopal	Bhopal	Madhya Pradesh	1995
Maharaja Chhatrasal Museum	Dhubela	Madhya Pradesh	
Gujari Mahal Archaeological Museum	Gwalior	Madhya Pradesh	
Sanchi Archaeological Museum	Sanchi	Madhya Pradesh	1919
Vidisha Museum	Vidisha	Madhya Pradesh	
Maharashtra

Name	City/Town	State/Territory	Year Established
Bhau Daji Lad Museum	Mumbai	Maharashtra	1872
National Gallery of Modern Art, Mumbai	Mumbai	Maharashtra	1996
Mani Bhavan	Mumbai	Maharashtra	
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya	Mumbai	Maharashtra	1922
Nehru Science Centre	Mumbai	Maharashtra	
Cowasji Jehangir Hall	Mumbai	Maharashtra	1996
INS Vikrant	Mumbai	Maharashtra	1943
Nagpur Central Museum	Nagpur	Maharashtra	1863
Ballard Bunder Gatehouse	Mumbai	Maharashtra	1920
Piramal Museum of Art	Mumbai	Maharashtra	2016
Joshi's Museum of Miniature Railway	Pune	Maharashtra	
Mahatma Phule Museum	Pune	Maharashtra	
Raja Dinkar Kelkar Museum	Pune	Maharashtra	
Antarang – Sex Health Information Art Gallery	Mumbai	Maharashtra	
Cavalry Tank Museum, Ahmednagar	Ahmednagar	Maharashtra	
Indian Institute for Research in Numismatic Studies	Nashik	Maharashtra	
Siddhagiri Gramjivan Museum (Kaneri Math)	Kolhapur	Maharashtra	
Chhatrapati Shivaji Maharaj Museum of Indian History	Pune	Maharashtra	
Raman Science Centre	Nagpur	Maharashtra	
Shree Chhatrapati Shahu Museum	Kolhapur	Maharashtra	
Sarmaya Arts Foundation	Mumbai	Maharashtra	2015
Pragati Aerospace Museum	Ozar	Maharashtra	2001
Manipur

Name	City/Town	District	Year Established
Archaeological Museum, Kangla	Imphal	Imphal West District	2017
Hijagang	Imphal	Imphal West District	2013
Imphal Peace Museum	Imphal	Imphal West District	2019
Indian National Army War Museum (INA War Museum)	Moirang	Bishnupur district	1985
Kangla Memento Museum	Imphal	Imphal West District	2018
Kangla Museum	Imphal	Imphal West District	
Loktak Folklore Museum	Thanga	Bishnupur district	2016
Manipur State Museum	Imphal	Imphal West District	1969
Sekta Archaeological Living Museum	Sekta	Imphal East district	1991
Mizoram
Name	City/Town	State/Territory	Year Established
Mizoram State Museum	Aizawl	Mizoram	
Nagaland
Name	City/Town	State/Territory	Year Established
Nagaland State Museum	Kohima	Nagaland	1970
Delhi


Name	City/Town	State/Territory	Year Established
National Museum	Delhi	National Capital Territory of Delhi	1949
Sanskriti Kendra Museum	Delhi	National Capital Territory of Delhi	
National Science Centre	Delhi	National Capital Territory of Delhi	
National Handicrafts and Handlooms Museum	Delhi	National Capital Territory of Delhi	
Kiran Nadar Museum of Art	National Capital Territory of Delhi	Delhi	2010
Eternal Gandhi Multimedia Museum	Delhi	National Capital Territory of Delhi	
Indian Air Force Museum, Palam	Delhi	National Capital Territory of Delhi	
Madame Tussauds Delhi	Delhi	National Capital Territory of Delhi	
National Museum of Natural History	Delhi	National Capital Territory of Delhi	
National Rail Museum	Delhi	National Capital Territory of Delhi	1977
National Gallery of Modern Art	Delhi	National Capital Territory of Delhi	1954
Teen Murti Bhavan	Delhi	National Capital Territory of Delhi	1930
Gandhi Smriti	Delhi	National Capital Territory of Delhi	
Nehru Memorial Museum & Library	Delhi	National Capital Territory of Delhi	
Parliament Museum	Delhi	National Capital Territory of Delhi	
National Gandhi Museum	Delhi	National Capital Territory of Delhi	
Sulabh International Museum of Toilets	Delhi	National Capital Territory of Delhi	
Shankar's International Dolls Museum	Delhi	National Capital Territory of Delhi	
Red Fort Archaeological Museum	Delhi	National Capital Territory of Delhi	
Kiran Nadar Museum of Art	Delhi	National Capital Territory of Delhi	2010
Odisha

Name	City/Town	State/Territory	Year Established
Odisha State Museum	Bhubaneshwar	Odisha	1932
Tribal Research Institute Museum	Bhubaneshwar	Odisha	
Regional Museum of Natural History, Bhubaneswar	Bhubaneshwar	Odisha	
Puducherry
Name	City/Town	State/Territory	Year Established
Pondicherry Museum	Puducherry	Puducherry	
Punjab

Name	City/Town	State/Territory	Year Established
Virasat-e-Khalsa	Anandpur Sahib	Punjab	2011
National Institute of Sports	Patiala	Punjab	
Sanghol Museum	Sanghol	Punjab	
Partition Museum	Amritsar	Punjab	2017
Sikh Ajaibghar	Balongi	Punjab	
Gobindgarh Fort	Amritsar	Punjab	
Rajasthan

Name	City/Town	State/Territory	Year Established
Jawahar Kala Kendra	Jaipur	Rajasthan	
Albert Hall Museum	Jaipur	Rajasthan	1887
City Palace, Jaipur	Jaipur	Rajasthan	
City Palace, Udaipur	Udaipur	Rajasthan	
Umaid Bhawan Palace	Jodhpur	Rajasthan	
Jaisalmer War Museum	Jaisalmer	Rajasthan	
Vintage and Classic Car Museum	Udaipur	Rajasthan	2000
Rajiv Gandhi Regional Museum of Natural History	Sawai Madhopur	Rajasthan	2007
Sardar Government Museum	Jodhpur	Rajasthan	1936
Sikkim
Name	City/Town	State/Territory	Year Established
Namgyal Institute of Tibetology	Gangtok	Sikkim	
Tamil Nadu


Name	City/Town	State/Territory	Year Established
Chennai Railway Museum	Chennai	Tamil Nadu	2002
Government Museum, Chennai	Chennai	Tamil Nadu	1851
Vivekanandar Illam	Chennai	Tamil Nadu	
Gandhi Memorial Museum	Madurai	Tamil Nadu	
